Feature ID	Taxon	Consensus
25eb08c6ac98725e08f6afa23e585d32	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscyphaceae_gen_Incertae_sedis;s__Hyaloscyphaceae_sp;sh__SH1499082.09FU	1.0
25f51e8fee3b02461c24bd6e60d5121f	k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium;s__Geminibasidium_sp;sh__SH2033285.09FU	1.0
260332c3cea6ea9f36f7c1edafb691ed	Unassigned	1.0
28109d3952058704b2da5b97866f3b58	Unassigned	1.0
284f1dfe01c55bd39f309788be9ac975	Unassigned	1.0
285aa021948f6d399508823ae1f5a0b1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp	0.759
28f8caf83e6c93872b8c1474defff2cc	Unassigned	1.0
296c5bc92f992470af9b019c173a6959	Unassigned	1.0
29a5533233379b57946647d2d874343b	Unassigned	1.0
29da74b829e9b839cd199fc96079fb36	Unassigned	1.0
2a698f4220f50685443dec8582eb5126	Unassigned	1.0
2ab2350d08114e6e848a2a8f80f945bd	Unassigned	1.0
2b199e31786d0bccde89a2d9ee8c52ff	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_hjortstamiana;sh__SH1851138.09FU	1.0
2b90cd0e727ef3f9cfb17dd1d36aa5f8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_sp;sh__SH1810776.09FU	1.0
2d46a43324693fd10628f523a53e375e	Unassigned	1.0
2d533bef03404f4eb5e9f1c703863111	Unassigned	1.0
2d857e871bf416a1665e0c77a0602731	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Chaetothyriales_gen_Incertae_sedis;s__Chaetothyriales_sp	1.0
2ddefec5a7fde51f454b10d16603d37c	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp;sh__SH1644711.09FU	1.0
2e5747a58fc9bf786096cb08ce862db6	Unassigned	1.0
2e9c65e22c33cf64b7e528d17af03696	Unassigned	1.0
2f3df260a14bb441bb205d6382bebd97	Unassigned	1.0
2f56215d14c8c5d303c602db827738d3	Unassigned	1.0
2f68566a0fc194c9db142877bf973c0e	Unassigned	1.0
2fbd62282426c606cef6b623fb83a7d3	Unassigned	1.0
2fe9e013edca4d49baacb7de14f30df3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Monocillium;s__Monocillium_sp;sh__SH1695600.09FU	1.0
313298c0019405e77f86506dd1c17838	Unassigned	1.0
313f08d962400379017e83ab94d8dcc3	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonales_fam_Incertae_sedis;g__Trichosporonales_gen_Incertae_sedis;s__Trichosporonales_sp;sh__SH1642845.09FU	1.0
3145d22fba848ad75434e8ea549e760b	Unassigned	1.0
