#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/88870930/ccs	345	40.00	40.00	5C
m84073_231201_024147_s2/100339820/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/71569315/ccs	1069	41.44	22.99	5C
m84073_231201_024147_s2/40963431/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/93590767/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/93655253/ccs	623	56.82	40.00	5C
m84073_231201_024147_s2/89329925/ccs	346	42.20	40.00	5C
m84073_231201_024147_s2/83496576/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/94768826/ccs	476	53.36	40.00	5C
m84073_231201_024147_s2/94769765/ccs	636	60.53	40.00	5C
m84073_231201_024147_s2/62917674/ccs	1069	41.53	24.67	5C
m84073_231201_024147_s2/94834730/ccs	476	53.57	40.00	5C
m84073_231201_024147_s2/51384218/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/42536962/ccs	1072	41.32	29.08	5C
m84073_231201_024147_s2/55973337/ccs	106	50.00	40.00	5C
m84073_231201_024147_s2/52041269/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/45290672/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/56627193/ccs	623	57.14	39.61	5C
m84073_231201_024147_s2/56824194/ccs	715	56.08	36.94	5C
m84073_231201_024147_s2/52498850/ccs	533	59.10	23.83	5C
m84073_231201_024147_s2/43781929/ccs	275	46.91	40.00	5C
m84073_231201_024147_s2/52630924/ccs	1066	41.46	40.00	5C
m84073_231201_024147_s2/35263262/ccs	418	48.33	39.19	5C
m84073_231201_024147_s2/45813729/ccs	705	55.18	40.00	5C
m84073_231201_024147_s2/35459069/ccs	1067	53.05	40.00	5C
m84073_231201_024147_s2/64295678/ccs	350	42.29	28.76	5C
m84073_231201_024147_s2/46009729/ccs	349	42.41	24.55	5C
m84073_231201_024147_s2/52893293/ccs	352	39.20	40.00	5C
m84073_231201_024147_s2/64558104/ccs	243	47.33	40.00	5C
m84073_231201_024147_s2/53220386/ccs	894	50.22	24.55	5C
m84073_231201_024147_s2/53415956/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/35983416/ccs	339	40.41	25.93	5C
m84073_231201_024147_s2/44699480/ccs	347	42.07	27.25	5C
m84073_231201_024147_s2/36180809/ccs	1194	50.84	40.00	5C
m84073_231201_024147_s2/58330746/ccs	346	41.04	38.79	5C
m84073_231201_024147_s2/65211815/ccs	623	57.30	27.50	5C
m84073_231201_024147_s2/240911763/ccs	343	47.81	26.09	5C
m84073_231201_024147_s2/54203470/ccs	111	54.95	26.67	5C
m84073_231201_024147_s2/47125250/ccs	719	51.32	19.24	5C
m84073_231201_024147_s2/58789932/ccs	623	57.14	21.10	5C
m84073_231201_024147_s2/36967146/ccs	1177	56.16	20.15	5C
m84073_231201_024147_s2/54923591/ccs	7	28.57	40.00	5C
m84073_231201_024147_s2/37228606/ccs	891	50.28	28.36	5C
m84073_231201_024147_s2/55121229/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/66260713/ccs	634	58.83	40.00	5C
m84073_231201_024147_s2/37294259/ccs	704	55.68	40.00	5C
m84073_231201_024147_s2/55382193/ccs	623	56.98	39.38	5C
m84073_231201_024147_s2/59708218/ccs	892	50.34	39.04	5C
m84073_231201_024147_s2/242550186/ccs	354	40.68	40.00	5C
m84073_231201_024147_s2/242812896/ccs	346	42.20	24.78	5C
m84073_231201_024147_s2/60034116/ccs	603	54.23	39.97	5C
m84073_231201_024147_s2/38472865/ccs	504	60.71	40.00	5C
m84073_231201_024147_s2/38474398/ccs	623	57.30	39.86	5C
m84073_231201_024147_s2/60230672/ccs	356	40.73	19.37	5C
m84073_231201_024147_s2/38671055/ccs	706	54.82	40.00	5C
m84073_231201_024147_s2/243795517/ccs	1070	41.40	31.65	5C
m84073_231201_024147_s2/49156330/ccs	834	43.53	40.00	5C
m84073_231201_024147_s2/252578644/ccs	29	62.07	34.73	5C
m84073_231201_024147_s2/49417269/ccs	354	40.40	27.50	5C
m84073_231201_024147_s2/49354217/ccs	476	53.36	40.00	5C
m84073_231201_024147_s2/235275685/ccs	711	53.31	22.93	5C
m84073_231201_024147_s2/253167470/ccs	508	60.83	40.00	5C
m84073_231201_024147_s2/235734139/ccs	346	40.46	35.20	5C
m84073_231201_024147_s2/236324808/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/246677947/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/236521264/ccs	345	40.29	25.06	5C
m84073_231201_024147_s2/245563787/ccs	349	42.41	29.78	5C
m84073_231201_024147_s2/266733051/ccs	349	42.41	25.45	5C
m84073_231201_024147_s2/7344416/ccs	408	39.71	40.00	5C
m84073_231201_024147_s2/248709538/ccs	716	43.85	27.31	5C
m84073_231201_024147_s2/256705336/ccs	714	53.78	32.10	5C
m84073_231201_024147_s2/239010914/ccs	1078	40.45	40.00	5C
m84073_231201_024147_s2/239076514/ccs	776	41.88	40.00	5C
m84073_231201_024147_s2/9310102/ccs	625	57.28	24.11	5C
m84073_231201_024147_s2/261685740/ccs	346	40.46	33.43	5C
m84073_231201_024147_s2/18092804/ccs	1070	41.40	36.61	5C
m84073_231201_024147_s2/10031296/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/11865890/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/19533196/ccs	623	56.66	40.00	5C
m84073_231201_024147_s2/19993891/ccs	517	60.74	26.17	5C
m84073_231201_024147_s2/31330648/ccs	273	42.12	24.21	5C
m84073_231201_024147_s2/23795182/ccs	86	45.35	40.00	5C
m84073_231201_024147_s2/23991388/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/20713716/ccs	709	38.93	29.42	5C
m84073_231201_024147_s2/208275170/ccs	576	52.26	40.00	5C
m84073_231201_024147_s2/24710683/ccs	508	60.83	40.00	5C
m84073_231201_024147_s2/24775704/ccs	320	54.37	27.32	5C
m84073_231201_024147_s2/24908080/ccs	338	47.93	40.00	5C
m84073_231201_024147_s2/32641893/ccs	354	40.68	19.05	5C
m84073_231201_024147_s2/14618413/ccs	1069	41.25	23.83	5C
m84073_231201_024147_s2/25038704/ccs	346	40.46	39.77	5C
m84073_231201_024147_s2/25234726/ccs	35	51.43	31.76	5C
m84073_231201_024147_s2/22025266/ccs	1069	41.44	35.12	5C
m84073_231201_024147_s2/229378230/ccs	0	0.00	35.12	5C
m84073_231201_024147_s2/26152192/ccs	819	43.59	29.98	5C
m84073_231201_024147_s2/26219563/ccs	891	49.94	40.00	5C
m84073_231201_024147_s2/210897225/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/230033988/ccs	478	53.14	28.54	5C
m84073_231201_024147_s2/211092591/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/219548432/ccs	260	51.15	39.93	5C
m84073_231201_024147_s2/27659897/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/231082665/ccs	347	44.96	33.43	5C
m84073_231201_024147_s2/39191354/ccs	619	51.21	39.98	5C
m84073_231201_024147_s2/202508062/ccs	1074	41.43	23.09	5C
m84073_231201_024147_s2/224266506/ccs	481	53.22	23.96	5C
m84073_231201_024147_s2/39586557/ccs	317	54.89	26.08	5C
m84073_231201_024147_s2/231475989/ccs	389	43.19	22.39	5C
m84073_231201_024147_s2/39651911/ccs	635	58.90	25.24	5C
m84073_231201_024147_s2/213845044/ccs	348	42.24	22.15	5C
m84073_231201_024147_s2/221121232/ccs	622	57.07	25.67	5C
m84073_231201_024147_s2/203491057/ccs	116	43.97	32.87	5C
m84073_231201_024147_s2/203556682/ccs	634	58.83	40.00	5C
m84073_231201_024147_s2/203620531/ccs	29	62.07	40.00	5C
m84073_231201_024147_s2/41157216/ccs	709	57.40	22.53	5C
m84073_231201_024147_s2/41223172/ccs	562	61.57	27.64	5C
m84073_231201_024147_s2/41550862/ccs	389	43.19	40.00	5C
