#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/252515479/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/252516020/ccs	483	48.45	29.44	5E_control
m84073_231201_024147_s2/252514106/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/246942848/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/252515073/ccs	482	48.55	38.27	5E_control
m84073_231201_024147_s2/235671617/ccs	664	43.83	35.91	5E_control
m84073_231201_024147_s2/235671452/ccs	664	43.83	40.00	5E_control
m84073_231201_024147_s2/246945546/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/263851438/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258216389/ccs	483	48.24	39.81	5E_control
m84073_231201_024147_s2/252579830/ccs	481	48.23	40.00	5E_control
m84073_231201_024147_s2/252579294/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/252580728/ccs	481	48.02	37.46	5E_control
m84073_231201_024147_s2/235673415/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235736824/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235673379/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/235673366/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235672996/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/247009979/ccs	482	48.55	39.98	5E_control
m84073_231201_024147_s2/247009961/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/247009774/ccs	483	48.45	40.00	5E_control
m84073_231201_024147_s2/263917370/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258280595/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/263918904/ccs	666	43.99	27.56	5E_control
m84073_231201_024147_s2/258281240/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252581249/ccs	665	43.91	39.99	5E_control
m84073_231201_024147_s2/258282916/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/258346048/ccs	481	48.23	34.85	5E_control
m84073_231201_024147_s2/258346028/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258282783/ccs	667	43.78	39.99	5E_control
m84073_231201_024147_s2/252644977/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252645392/ccs	483	48.65	22.48	5E_control
m84073_231201_024147_s2/235801934/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/235801655/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/258348274/ccs	482	48.55	38.81	5E_control
m84073_231201_024147_s2/247140610/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/258411864/ccs	666	43.84	38.86	5E_control
m84073_231201_024147_s2/258348016/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/258348324/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252709986/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/258411918/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/258348335/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235803131/ccs	482	48.55	29.43	5E_control
