#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/236328253/ccs	739	57.37	38.21	5A
m84073_231201_024147_s2/236326062/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/253433111/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/253431837/ccs	13	30.77	40.00	5A
m84073_231201_024147_s2/242030009/ccs	346	40.75	39.74	5A
m84073_231201_024147_s2/264834221/ccs	117	43.59	40.00	5A
m84073_231201_024147_s2/242094166/ccs	724	47.10	39.89	5A
m84073_231201_024147_s2/236391812/ccs	114	49.12	39.92	5A
m84073_231201_024147_s2/264835926/ccs	640	58.28	39.99	5A
m84073_231201_024147_s2/247926288/ccs	476	53.36	24.98	5A
m84073_231201_024147_s2/236392515/ccs	708	57.34	32.30	5A
m84073_231201_024147_s2/247861952/ccs	593	54.81	40.00	5A
m84073_231201_024147_s2/242158611/ccs	593	54.81	39.98	5A
m84073_231201_024147_s2/264900010/ccs	817	50.31	40.00	5A
m84073_231201_024147_s2/264836234/ccs	29	62.07	35.18	5A
m84073_231201_024147_s2/264835802/ccs	566	39.75	40.00	5A
m84073_231201_024147_s2/236393886/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/236393305/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/236457064/ccs	1157	55.06	21.36	5A
m84073_231201_024147_s2/236458777/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/247991449/ccs	475	56.00	40.00	5A
m84073_231201_024147_s2/259265772/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/253563390/ccs	706	55.24	40.00	5A
m84073_231201_024147_s2/264901937/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/264901356/ccs	635	58.90	27.32	5A
m84073_231201_024147_s2/236459764/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/242224293/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/253563706/ccs	0	0.00	40.00	5A
m84073_231201_024147_s2/236458155/ccs	7	42.86	40.00	5A
m84073_231201_024147_s2/264965885/ccs	368	54.35	40.00	5A
m84073_231201_024147_s2/253629023/ccs	708	57.34	30.93	5A
m84073_231201_024147_s2/236523033/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/236523522/ccs	587	51.96	40.00	5A
m84073_231201_024147_s2/253693433/ccs	498	51.61	40.00	5A
m84073_231201_024147_s2/253693450/ccs	127	57.48	40.00	5A
m84073_231201_024147_s2/264967017/ccs	635	59.06	40.00	5A
m84073_231201_024147_s2/248058602/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/236588395/ccs	50	46.00	40.00	5A
m84073_231201_024147_s2/242225055/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/253694374/ccs	640	58.28	29.70	5A
m84073_231201_024147_s2/253758489/ccs	115	47.83	40.00	5A
m84073_231201_024147_s2/265031997/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/242226569/ccs	1068	53.09	39.26	5A
m84073_231201_024147_s2/248123711/ccs	664	49.40	40.00	5A
m84073_231201_024147_s2/236590630/ccs	690	54.93	40.00	5A
m84073_231201_024147_s2/265096455/ccs	623	56.98	33.43	5A
m84073_231201_024147_s2/236654813/ccs	307	55.05	40.00	5A
m84073_231201_024147_s2/265097310/ccs	593	55.14	40.00	5A
m84073_231201_024147_s2/259460261/ccs	318	54.72	40.00	5A
m84073_231201_024147_s2/265098562/ccs	346	40.75	40.00	5A
m84073_231201_024147_s2/242357060/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/248189931/ccs	476	53.36	39.98	5A
m84073_231201_024147_s2/242421804/ccs	99	65.66	40.00	5A
m84073_231201_024147_s2/242422173/ccs	622	56.91	28.00	5A
m84073_231201_024147_s2/236720482/ccs	623	57.30	40.00	5A
m84073_231201_024147_s2/236784814/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/265163440/ccs	113	48.67	39.19	5A
m84073_231201_024147_s2/265227369/ccs	861	49.25	39.64	5A
m84073_231201_024147_s2/242486710/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/236785703/ccs	708	57.34	39.48	5A
m84073_231201_024147_s2/236786900/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/242486920/ccs	1067	53.23	39.92	5A
m84073_231201_024147_s2/253956454/ccs	639	57.59	40.00	5A
m84073_231201_024147_s2/253955216/ccs	114	45.61	40.00	5A
m84073_231201_024147_s2/253957518/ccs	1069	41.44	39.74	5A
m84073_231201_024147_s2/253956244/ccs	691	54.85	29.25	5A
m84073_231201_024147_s2/248320103/ccs	0	0.00	29.25	5A
m84073_231201_024147_s2/236787457/ccs	1088	61.12	39.27	5A
m84073_231201_024147_s2/265293067/ccs	1597	57.61	39.99	5A
m84073_231201_024147_s2/259592259/ccs	640	58.28	40.00	5A
m84073_231201_024147_s2/242487502/ccs	1204	50.50	40.00	5A
m84073_231201_024147_s2/242488459/ccs	822	50.24	39.68	5A
m84073_231201_024147_s2/236787473/ccs	862	49.30	36.66	5A
m84073_231201_024147_s2/254020742/ccs	582	53.44	40.00	5A
m84073_231201_024147_s2/236850760/ccs	631	52.77	40.00	5A
m84073_231201_024147_s2/248386929/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/236853077/ccs	476	53.57	40.00	5A
m84073_231201_024147_s2/242554453/ccs	311	54.34	36.30	5A
m84073_231201_024147_s2/254022244/ccs	366	51.37	40.00	5A
m84073_231201_024147_s2/254022015/ccs	566	39.75	40.00	5A
m84073_231201_024147_s2/254022235/ccs	708	57.34	40.00	5A
m84073_231201_024147_s2/248386947/ccs	634	58.83	34.72	5A
m84073_231201_024147_s2/236916132/ccs	708	57.34	40.00	5A
m84073_231201_024147_s2/236852897/ccs	1217	36.57	40.00	5A
m84073_231201_024147_s2/248450348/ccs	635	58.90	40.00	5A
m84073_231201_024147_s2/248451576/ccs	78	48.72	40.00	5A
m84073_231201_024147_s2/259656880/ccs	866	49.08	36.62	5A
m84073_231201_024147_s2/265358550/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/259593290/ccs	662	50.15	40.00	5A
m84073_231201_024147_s2/254088714/ccs	623	56.98	35.40	5A
m84073_231201_024147_s2/254153850/ccs	1074	41.15	30.33	5A
m84073_231201_024147_s2/254217969/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/248516884/ccs	390	37.44	26.88	5A
m84073_231201_024147_s2/236982198/ccs	113	48.67	35.57	5A
m84073_231201_024147_s2/236982585/ccs	135	52.59	39.93	5A
m84073_231201_024147_s2/236983191/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/242683203/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/248581513/ccs	724	43.92	27.68	5A
m84073_231201_024147_s2/242684556/ccs	724	43.92	40.00	5A
m84073_231201_024147_s2/248518230/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/242684254/ccs	623	56.98	38.95	5A
m84073_231201_024147_s2/242683103/ccs	750	58.13	39.99	5A
m84073_231201_024147_s2/248581454/ccs	7	42.86	40.00	5A
m84073_231201_024147_s2/242684524/ccs	662	50.30	40.00	5A
m84073_231201_024147_s2/237047481/ccs	151	37.09	30.93	5A
m84073_231201_024147_s2/237112423/ccs	1224	51.23	37.55	5A
m84073_231201_024147_s2/254284268/ccs	593	54.81	38.75	5A
m84073_231201_024147_s2/237113220/ccs	821	50.30	29.93	5A
m84073_231201_024147_s2/259723679/ccs	822	50.36	27.57	5A
m84073_231201_024147_s2/259724403/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/237114483/ccs	484	44.21	40.00	5A
m84073_231201_024147_s2/259788102/ccs	817	41.00	40.00	5A
m84073_231201_024147_s2/237114459/ccs	431	58.00	38.34	5A
m84073_231201_024147_s2/259723628/ccs	724	43.92	40.00	5A
m84073_231201_024147_s2/237115243/ccs	318	54.09	40.00	5A
m84073_231201_024147_s2/254414023/ccs	531	55.56	40.00	5A
m84073_231201_024147_s2/248647987/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/259789475/ccs	951	48.05	40.00	5A
m84073_231201_024147_s2/254414851/ccs	724	43.92	40.00	5A
m84073_231201_024147_s2/237179739/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/242750921/ccs	662	50.30	39.60	5A
m84073_231201_024147_s2/265555523/ccs	951	48.05	39.72	5A
m84073_231201_024147_s2/242751358/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/248714427/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/248778570/ccs	1069	41.44	39.96	5A
m84073_231201_024147_s2/248713769/ccs	415	54.46	40.00	5A
m84073_231201_024147_s2/248713266/ccs	587	51.96	40.00	5A
m84073_231201_024147_s2/237244787/ccs	431	58.00	27.75	5A
m84073_231201_024147_s2/254545957/ccs	428	58.41	40.00	5A
m84073_231201_024147_s2/242816636/ccs	634	58.83	40.00	5A
m84073_231201_024147_s2/242815240/ccs	264	51.14	40.00	5A
m84073_231201_024147_s2/265621134/ccs	821	50.30	39.03	5A
m84073_231201_024147_s2/254676375/ccs	663	49.62	40.00	5A
m84073_231201_024147_s2/242816262/ccs	623	56.98	40.00	5A
