#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/258936904/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/236132114/ccs	947	38.86	40.00	5B
m84073_231201_024147_s2/236195354/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/253235712/ccs	330	44.55	40.00	5B
m84073_231201_024147_s2/253236088/ccs	68	57.35	40.00	5B
m84073_231201_024147_s2/247598346/ccs	977	53.33	40.00	5B
m84073_231201_024147_s2/236195790/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/241896693/ccs	948	38.92	39.90	5B
m84073_231201_024147_s2/259001659/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241897243/ccs	952	38.87	23.24	5B
m84073_231201_024147_s2/236197255/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241897119/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/236197162/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/236197532/ccs	1228	51.06	40.00	5B
m84073_231201_024147_s2/253300937/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/264508471/ccs	1029	40.04	40.00	5B
m84073_231201_024147_s2/241897852/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241898397/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/247729330/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241963993/ccs	84	38.10	40.00	5B
m84073_231201_024147_s2/241963973/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/247730736/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/241964780/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/253367229/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/247795696/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/247795883/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/259132555/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/253431852/ccs	330	44.24	37.78	5B
m84073_231201_024147_s2/253433455/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/236326794/ccs	948	38.92	31.15	5B
m84073_231201_024147_s2/259133233/ccs	1228	51.06	40.00	5B
m84073_231201_024147_s2/236326144/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/253432756/ccs	949	38.78	31.35	5B
m84073_231201_024147_s2/259133460/ccs	587	52.47	26.75	5B
m84073_231201_024147_s2/259134361/ccs	949	38.88	40.00	5B
